Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
True,[ 0.0617555 -0.0282381 -0.0535152 -0.0409112 0.306531 2.92487 ],0.00097814,24,2000,0.231274,[ 0.0262742 0.0408689 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
True,[ 0.0496188 -0.0243412 -0.0449966 0.0462955 1.99466 3.23249 ],0.000910276,24,2000,0.199322,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
True,[ 0.0606725 0.00833728 -0.154788 -0.0538592 0.0264301 2.63968 ],0.000994092,24,2000,0.194887,[ 0.0262767 0.0408664 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
True,[ 0.0558254 -0.00631547 -0.046678 -0.014525 1.25702 3.08976 ],0.00076057,24,2000,0.235512,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
True,[ 0.0399789 0.00286685 -0.16074 0.169912 1.6515 2.52473 ],0.000866312,24,2000,0.193121,[ 0.0262758 0.0408677 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
True,[ 0.0641417 -0.0179496 0.024257 -0.0791891 1.84802 3.20979 ],0.000924738,24,2000,0.217012,[ 0.0262738 0.0408698 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
