Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
True,[ 0.0440225 ],1.09823e-08,16,500,0.0020034,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532993 ],7.61935e-08,16,500,0.0015667,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583215 ],8.42011e-08,16,500,0.0025782,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609668 ],8.83439e-09,16,500,0.0034232,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644902 ],2.08876e-09,16,500,0.0039798,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0674053 ],5.18664e-09,16,500,0.0062444,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671431 ],8.01455e-08,16,500,0.0073008,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262783 ],9.7969e-08,16,500,0.0012689,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440225 ],1.29526e-08,16,500,0.0027524,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532981 ],5.03603e-09,16,500,0.0020646,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583223 ],1.73727e-10,16,500,0.0029381,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609672 ],1.60489e-08,16,500,0.0030329,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644899 ],3.37179e-08,16,500,0.003872,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0674054 ],2.7769e-08,16,500,0.0053179,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671434 ],2.38058e-10,16,500,0.0072376,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262725 ],7.27998e-08,16,500,0.0011224,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440227 ],2.02566e-08,16,500,0.0015988,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532991 ],5.08578e-08,16,500,0.0021156,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583231 ],7.99799e-08,16,500,0.0028192,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609666 ],2.87154e-08,16,500,0.0030356,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644906 ],6.87615e-08,16,500,0.0037657,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0674049 ],5.21e-08,16,500,0.0052093,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671432 ],1.69805e-08,16,500,0.0061504,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262733 ],3.78947e-08,16,500,0.0011552,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440229 ],3.4634e-08,16,500,0.0017111,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532986 ],4.68667e-09,16,500,0.0024138,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583229 ],4.47267e-08,16,500,0.002566,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609675 ],7.16735e-08,16,500,0.0027595,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644899 ],3.20993e-08,16,500,0.0092763,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.067405 ],1.82513e-08,16,500,0.0178999,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671437 ],6.12303e-08,16,500,0.0106549,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262735 ],2.96052e-08,16,500,0.0013468,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440228 ],3.03244e-08,16,500,0.0017197,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532986 ],5.33262e-09,16,500,0.0018287,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583223 ],5.9917e-11,16,500,0.0041909,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609676 ],8.76944e-08,16,500,0.0028748,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644903 ],8.60225e-09,16,500,0.0026591,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.067405 ],1.6378e-08,16,500,0.0041802,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671432 ],3.23765e-08,16,500,0.0061819,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262722 ],9.50219e-08,16,500,0.0011232,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440217 ],2.1693e-09,16,500,0.0015451,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532988 ],2.17505e-08,16,500,0.002684,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583222 ],4.30976e-10,16,500,0.0024545,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609676 ],8.82262e-08,16,500,0.0026129,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644896 ],9.80222e-08,16,500,0.0040482,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.067405 ],1.04326e-08,16,500,0.0047337,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671434 ],1.34598e-09,16,500,0.0067654,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262777 ],6.5409e-08,16,500,0.0018339,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440218 ],1.15183e-09,16,500,0.0017186,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532978 ],3.30887e-08,16,500,0.0018694,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583218 ],3.45652e-08,16,500,0.0028353,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609667 ],1.18131e-08,16,500,0.0026391,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644904 ],2.68962e-08,16,500,0.0046199,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0674054 ],2.44862e-08,16,500,0.0054826,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671436 ],3.74042e-08,16,500,0.0056546,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262741 ],1.27984e-08,16,500,0.0017205,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
