Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
False,[ 2.91579e-09 1.2637 -0.78161 -0.0603022 0.122528 5.5 ],22.569,60,1000,4.97795,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 4.75555e-08 -9.66773 9.83261 -0.060641 0.367179 5.49981 ],0.225685,60,1000,4.87358,[ 0.0554827 0.0151039 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 5.19564e-10 11.3246 -10.465 -0.0603296 0.0687947 5.5 ],0.22569,60,1000,5.0587,[ 0.0554822 0.0151033 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 3.28549e-09 14.7417 -14.4338 -0.0603175 0.192103 5.49999 ],0.22569,60,1000,4.96771,[ 0.0554821 0.0151033 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 6.27352e-09 15.9018 20.3879 -0.0603104 0.00162715 5.5 ],0.22569,60,1000,7.21727,[ 0.0554822 0.0151033 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 5.86341e-09 9.70988 -9.3332 -0.0603329 0.157087 5.5 ],0.22569,60,1000,30.9445,[ 0.0554825 0.0151037 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 3.31318e-09 26.1407 -25.4243 -0.0603131 0.0825294 5.49999 ],0.22569,60,1000,4.92945,[ 0.0554823 0.0151035 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 8.36263e-10 17.7153 -17.3793 -0.0603025 0.175852 5.5 ],0.22569,60,1000,4.90262,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.84707e-09 7.69273 -6.22163 -0.0602987 0.0401522 5.5 ],0.22569,60,1000,5.30956,[ 0.0554822 0.0151033 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.11596e-08 -1.40474 1.98793 -0.0602669 0.100998 5.49999 ],0.22569,60,1000,4.9414,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 5.51946e-10 27.1841 -26.1615 -0.0602935 0.0577031 5.49999 ],0.22569,60,1000,4.89512,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 3.08078e-09 -12.5022 12.7605 -0.0603102 0.22877 5.5 ],0.22569,60,1000,4.86884,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 6.03368e-09 -1.54387 2.49196 -0.0602886 0.0622721 5.49997 ],0.22569,60,1000,4.86754,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 3.14611e-09 25.527 -25.1702 -0.0602892 0.165408 5.5 ],0.22569,60,1000,4.84054,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.70552e-08 -2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],0.22569,60,1000,4.96707,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 6.5809e-10 24.1938 -21.1753 -0.0603065 0.0195705 5.5 ],0.22569,60,1000,6.25671,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.91813e-09 6.77883 -3.85749 -0.0602876 0.0202051 5.49999 ],0.22569,60,1000,5.98742,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ -0.000523312 6.37354 7.53938 -0.0599314 0.000504625 4.2034 ],0.243212,60,1000,5.9759,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.00620048 5.21722 -0.830871 -0.193209 0.101677 4.71606 ],0.336087,60,1000,5.28212,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
